"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HSBP1L11",8.03871140602517e-65,0.41027720911672,0.531,0.208,4.73238940472702e-60,"11","HSBP1L1"
"GTF2I1",8.22935132591746e-65,0.539677004609317,0.65,0.329,4.84461912556761e-60,"11","GTF2I"
"SGMS21",8.44599733709741e-65,0.468196333796538,0.439,0.144,4.97215863234924e-60,"11","SGMS2"
"WSB14",1.03760308632749e-64,0.612030256457342,0.864,0.568,6.10836936920996e-60,"11","WSB1"
"INAVA",1.20583363357283e-64,0.283353870176272,0.255,0.036,7.09874260084325e-60,"11","INAVA"
"SELENOW2",1.29604396895786e-64,0.576303044497278,0.883,0.575,7.6298108452549e-60,"11","SELENOW"
"NKX2-3",2.03084753901057e-64,0.272804981177659,0.214,0.021,1.19555994621552e-59,"11","NKX2-3"
"SLC22A23",2.1387404406545e-64,0.318029068113884,0.295,0.062,1.2590764974133e-59,"11","SLC22A23"
"ALCAM3",2.44972840912343e-64,0.50283593130671,0.659,0.314,1.44215511445096e-59,"11","ALCAM"
"KRTCAP31",3.41670144771462e-64,0.424582977775332,0.485,0.179,2.0114121422696e-59,"11","KRTCAP3"
"NAV22",4.26609342633778e-64,0.389023092189415,0.398,0.118,2.51144920008505e-59,"11","NAV2"
"NET11",5.62765473812338e-64,0.55873698013358,0.676,0.325,3.31300034433323e-59,"11","NET1"
"PLAUR3",8.0052357153912e-64,0.43315635268663,0.576,0.212,4.7126822656508e-59,"11","PLAUR"
"CXCL13",1.13392070864178e-63,0.743508203009811,0.419,0.125,6.67539121177415e-59,"11","CXCL1"
"ATP5F1B2",1.22236398814971e-63,0.592471438474446,0.859,0.602,7.19605679823734e-59,"11","ATP5F1B"
"PTPRF1",1.26462326414859e-63,0.511095207414403,0.703,0.323,7.44483715604273e-59,"11","PTPRF"
"PKP41",1.3167894655331e-63,0.441338288482522,0.572,0.231,7.75193958359335e-59,"11","PKP4"
"TPT1-AS11",1.50395369768038e-63,0.567575798073437,0.526,0.21,8.85377541824439e-59,"11","TPT1-AS1"
"VCL2",1.75141592887638e-63,0.584992897264233,0.603,0.28,1.03105855732953e-58,"11","VCL"
"CP2",2.29154603050006e-63,0.653833152683781,0.413,0.128,1.34903314815539e-58,"11","CP"
"CDCA7L2",2.58342717511898e-63,0.433036126320454,0.482,0.181,1.52086357799254e-58,"11","CDCA7L"
"RPL72",4.27247432873984e-63,0.391022050137236,0.961,0.933,2.51520563732915e-58,"11","RPL7"
"MMP143",7.06511293370679e-63,0.355085158882922,0.454,0.159,4.15923198407319e-58,"11","MMP14"
"IRX11",7.90114334512411e-63,0.336856873576952,0.302,0.059,4.65140308727456e-58,"11","IRX1"
"CCN23",1.04234995221802e-62,0.613803572229168,0.43,0.14,6.13631416870748e-58,"11","CCN2"
"GAN1",1.33603480656199e-62,0.457669105817343,0.417,0.133,7.86523690623043e-58,"11","GAN"
"SERBP13",1.57616319938639e-62,0.588117393616197,0.932,0.73,9.27887275478766e-58,"11","SERBP1"
"ANXA43",1.87386921714851e-62,0.381611816184653,0.526,0.23,1.10314680813533e-57,"11","ANXA4"
"VPS13D",3.07504479329652e-62,0.493318851271892,0.577,0.261,1.81027886981366e-57,"11","VPS13D"
"LIMK21",3.27242709254455e-62,0.411824110800216,0.419,0.142,1.92647782938097e-57,"11","LIMK2"
"PLXNA12",4.2697296672342e-62,0.336976332793018,0.352,0.091,2.51358985510077e-57,"11","PLXNA1"
"FMO22",8.54286777174684e-62,0.321685863295097,0.5,0.171,5.02918625722737e-57,"11","FMO2"
"ADSS1",1.16005501662369e-61,0.468056522945176,0.596,0.285,6.82924388286367e-57,"11","ADSS"
"CRNDE1",1.37705341781048e-61,0.486554854887039,0.546,0.233,8.1067134706503e-57,"11","CRNDE"
"ING2",1.61140204024955e-61,0.490643016766387,0.478,0.177,9.48632381094912e-57,"11","ING2"
"TMEM983",1.6460061914283e-61,0.346452133396036,0.412,0.131,9.69003844893839e-57,"11","TMEM98"
"WWTR12",1.77236703146953e-61,0.456750268252119,0.566,0.245,1.04339247142611e-56,"11","WWTR1"
"SPATS2L2",1.91652264784446e-61,0.588650471334135,0.756,0.425,1.12825688278603e-56,"11","SPATS2L"
"ANXA113",3.06372002895806e-61,0.549977024588205,0.766,0.425,1.80361198104761e-56,"11","ANXA11"
"AMD14",3.94723056178599e-61,0.571615963046416,0.795,0.495,2.32373463172341e-56,"11","AMD1"
"CMIP2",6.01102571182652e-61,0.43661723396063,0.533,0.211,3.53869083655227e-56,"11","CMIP"
"GNL1",6.82899648278064e-61,0.438166489839407,0.518,0.223,4.02023022941296e-56,"11","GNL1"
"STOM3",1.27008641539934e-60,0.460762332733925,0.642,0.281,7.47699872745594e-56,"11","STOM"
"PHLDA31",1.44267795440774e-60,0.328749560768016,0.369,0.108,8.49304511759834e-56,"11","PHLDA3"
"RBBP63",2.44134467193997e-60,0.633599223241364,0.73,0.42,1.43721960837106e-55,"11","RBBP6"
"SLC25A31",2.94801642553773e-60,0.519956493987656,0.921,0.749,1.73549726971406e-55,"11","SLC25A3"
"LGALS34",3.69961909755324e-60,0.500114653297629,0.913,0.568,2.17796576272959e-55,"11","LGALS3"
"SLC2A1",4.46880520222635e-60,0.372040009958964,0.375,0.115,2.63078562255065e-55,"11","SLC2A1"
"AC106795.1",7.04913513792388e-60,0.298263199278028,0.318,0.081,4.14982585569579e-55,"11","AC106795.1"
"AFDN1",7.60411409333003e-60,0.464976948364123,0.724,0.361,4.47654196674339e-55,"11","AFDN"
"PFKFB32",8.60622272012166e-60,0.343173956110661,0.396,0.118,5.06648331533562e-55,"11","PFKFB3"
"TAGLN1",8.89475677697015e-60,0.852285748663234,0.443,0.169,5.23634331460233e-55,"11","TAGLN"
"RPS183",9.09600101919536e-60,0.474423131068147,0.996,0.998,5.35481580000031e-55,"11","RPS18"
"NFIX3",1.01387329573984e-59,0.531580198894157,0.744,0.391,5.96867209202046e-55,"11","NFIX"
"RAB324",1.26388560298951e-59,0.435666892914096,0.469,0.171,7.44049454479927e-55,"11","RAB32"
"NMNAT2",1.28677379234293e-59,0.273544138329398,0.16,0.007,7.5752373155228e-55,"11","NMNAT2"
"EGR22",2.5855851365419e-59,0.363996035181386,0.454,0.159,1.52213396988222e-54,"11","EGR2"
"MYL63",3.19874027674125e-59,0.49738313482146,0.98,0.844,1.88309840091757e-54,"11","MYL6"
"CSRNP13",3.45321351180734e-59,0.496705927618125,0.637,0.305,2.03290679440098e-54,"11","CSRNP1"
"ASAP21",3.53105788906901e-59,0.265834606228881,0.301,0.073,2.07873377929492e-54,"11","ASAP2"
"HNRNPA14",6.50942332287391e-59,0.45198353477617,0.935,0.764,3.83209751017587e-54,"11","HNRNPA1"
"CTNNAL1",7.36620409813196e-59,0.389434627415374,0.397,0.126,4.33648435257029e-54,"11","CTNNAL1"
"BTF34",8.80658415859945e-59,0.534815713955083,0.938,0.854,5.1844360941675e-54,"11","BTF3"
"EIF56",9.16665394614553e-59,0.525281359094148,0.92,0.659,5.39640917809587e-54,"11","EIF5"
"HSP90AA15",9.74259411258251e-59,0.428535744777966,0.997,0.926,5.73546515407732e-54,"11","HSP90AA1"
"BEX32",2.22362079572055e-58,0.475510645322954,0.645,0.339,1.30904556244069e-53,"11","BEX3"
"LRRFIP21",2.86357286733141e-58,0.419235726888534,0.56,0.27,1.685785346998e-53,"11","LRRFIP2"
"PWWP3A3",3.90175305214397e-58,0.416482247181453,0.543,0.242,2.29696202179715e-53,"11","PWWP3A"
"SPHK12",5.32376439446527e-58,0.319757779958505,0.276,0.062,3.1341000990217e-53,"11","SPHK1"
"ARL5B4",5.73898598785397e-58,0.566026141010637,0.618,0.283,3.37854105104963e-53,"11","ARL5B"
"LRIG1",7.00660589246682e-58,0.399438224235746,0.405,0.132,4.12478888889521e-53,"11","LRIG1"
"FLNB1",7.22580045911814e-58,0.488768449224262,0.584,0.269,4.25382873028285e-53,"11","FLNB"
"AQP32",7.3374810360403e-58,0.60669771548031,0.706,0.369,4.31957508591693e-53,"11","AQP3"
"ITGB14",7.86465889245469e-58,0.589984989122495,0.869,0.562,4.62992468998808e-53,"11","ITGB1"
"ARGLU15",1.00556473434225e-57,0.532692639027337,0.916,0.653,5.91975959107282e-53,"11","ARGLU1"
"IKZF21",1.48008833713387e-57,0.361769787910325,0.409,0.132,8.71328004070708e-53,"11","IKZF2"
"SLC38A5",2.30546754126278e-57,0.283600708401264,0.279,0.062,1.3572287415414e-52,"11","SLC38A5"
"MYADM6",2.37353538935468e-57,0.600367010377945,0.802,0.447,1.3973002837131e-52,"11","MYADM"
"KLHL211",2.59255605589462e-57,0.390975847611392,0.447,0.162,1.52623775010517e-52,"11","KLHL21"
"CYCS3",2.67631045707792e-57,0.500616301837553,0.793,0.529,1.57554396608177e-52,"11","CYCS"
"SPINT11",3.27710167351285e-57,0.367290959659704,0.611,0.251,1.92922975519702e-52,"11","SPINT1"
"TGFB21",4.22220099954755e-57,0.299660626707103,0.383,0.111,2.48560972843364e-52,"11","TGFB2"
"MAST41",5.52026939306475e-57,0.509549734746501,0.549,0.253,3.24978259169722e-52,"11","MAST4"
"JUN5",5.93097875692961e-57,0.744079098724915,0.995,0.878,3.49156719420446e-52,"11","JUN"
"TRMT9B",6.13888429957134e-57,0.296309920104049,0.262,0.046,3.61396118715765e-52,"11","TRMT9B"
"BASP15",6.43779172919841e-57,0.367467388157633,0.467,0.176,3.78992799097911e-52,"11","BASP1"
"PCLO",1.37517590267259e-56,0.4860658037576,0.374,0.11,8.09566053903354e-52,"11","PCLO"
"IMPA2",1.4067894258092e-56,0.3602234954797,0.392,0.124,8.28176934973875e-52,"11","IMPA2"
"NCKAP5L1",1.63096241829091e-56,0.298825300973288,0.305,0.075,9.60147575647858e-52,"11","NCKAP5L"
"CROT",1.66090271411942e-56,0.307880434042877,0.306,0.069,9.77773427802103e-52,"11","CROT"
"PRRC2B3",1.75014322706914e-56,0.499237077052907,0.737,0.41,1.0303093177756e-51,"11","PRRC2B"
"NCKAP13",2.08390767035894e-56,0.449572386053155,0.584,0.282,1.22679644554031e-51,"11","NCKAP1"
"HRAS",2.22105550603026e-56,0.38328186240784,0.439,0.158,1.30753537640001e-51,"11","HRAS"
