"","gene","logFC","logCPM","LR","PValue","FDR","s04_SMG","s07_SMG","s09_SMG","s12_SMG","s14_SMG","s17_SMG","s23_SMG","s01_SMG_IR","s02_SMG_IR","s21_SMG_IR","s27_SMG_IR","s30_SMG_IR","s31_SMG_IR"
"7145","ETFA",-0.545719875279604,6.40349008475411,4.90135165455856,0.0268356829183522,0.248870605039433,1052,766,682,699,776,702,665,730,861,175,1044,823,736
"7146","ETFB",-0.636116117465093,4.85722647089918,4.20352767377926,0.0403399789412362,0.304652601994395,423,284,294,264,206,258,247,257,157,64,175,184,260
"7147","ETFBKMT",0.0764010808871763,3.43229542625729,0.113044438001936,0.736704355815759,0.932792107589543,163,93,71,104,62,91,56,91,93,33,136,162,108
"7148","ETFDH",-0.297162169937701,5.72194024463163,1.60602953649384,0.205050826200772,0.626246649833308,757,472,549,414,382,434,411,452,500,154,587,438,507
"7149","ETFRF1",-0.448902948357325,4.29031810930138,2.90784749956673,0.0881494517293353,0.442345025356218,280,194,164,170,168,211,174,193,152,47,173,149,135
"7150","ETHE1",-0.193930555871459,3.5369774451524,0.480611110289313,0.488145639110631,0.834024862017648,217,111,95,117,124,148,80,119,75,38,117,103,86
"7151","ETNK1",-0.224784414656777,6.7129723656866,1.11875042241615,0.29018767947651,0.706482136054454,1632,868,861,938,705,1072,845,880,1039,229,1574,1606,840
"7152","ETNK2",0.628972380713029,2.41797060644101,2.90414558112156,0.0883520614892504,0.442940710586895,67,29,33,39,37,38,37,32,57,17,83,88,49
"7153","ETNPPL",-0.132733638577562,4.33277018037203,0.0206501969828849,0.885735978171019,0.974084497385193,51,272,31,183,109,163,133,84,43,8,56,12,80
"7154","ETS1",0.378533602792163,6.2204533834468,2.06100717446758,0.151110263524556,0.55112362599667,550,283,205,266,215,538,279,516,976,211,1228,1414,552
"7155","ETS2",0.473627873849918,6.35585360334544,2.36665106749239,0.123952708025331,0.512190205112774,740,325,384,340,389,337,449,354,670,235,1044,1199,675
"7156","ETV1",0.421776070720414,8.17631588458366,1.18145387208067,0.277060214756804,0.696772478594956,2785,3042,2637,2522,1452,3468,2819,2319,477,878,1086,572,1885
"7157","ETV3",0.177798370177107,5.36788614346452,0.726015818961988,0.394177672970961,0.782926086058281,491,284,295,285,213,373,213,329,430,117,485,695,356
"7158","ETV4",1.10147938323336,2.08095296637175,7.65107316796563,0.00567385585460057,0.105707584833235,55,21,29,49,34,31,24,87,72,9,88,111,53
"7159","ETV5",1.61780936007877,4.74003292700792,13.1176286175049,0.00029253007585965,0.0181807442146772,256,116,144,114,144,133,130,306,476,69,639,797,225
"7160","ETV5-AS1",1.86776087017711,0.18740536737816,10.2691498453602,0.00135273122095429,0.0471157942597879,6,7,6,4,1,3,4,10,15,3,19,25,10
"7161","ETV6",0.555708195645396,6.83173110802695,3.1217357215062,0.0772544523765707,0.415333458053201,1167,774,780,971,776,1377,1190,1314,657,467,1086,2676,1002
"7162","ETV7",0.146685579723897,1.01013720649934,0.0664706358854481,0.796546601516202,0.949844423432291,8,5,21,8,6,35,12,15,24,4,44,18,22
"7163","EVA1A",1.27569843985957,3.96782761558518,7.44379817124443,0.00636554110939305,0.112932989815887,160,131,152,84,38,107,113,116,84,58,192,126,152
"7164","EVA1B",0.27453640796283,2.7748235768758,0.498002930367456,0.480378933986824,0.829825088085638,123,59,37,72,40,76,43,43,60,30,123,67,63
"7165","EVA1C",0.374386612368532,4.32806115938558,1.42761153338329,0.232154633316215,0.656302963382072,263,95,143,133,139,178,159,141,143,71,190,299,229
"7166","EVC",0.323134967158695,5.40416085745108,1.60309202706024,0.205465575284973,0.626753228573842,520,297,378,352,259,277,332,433,396,123,577,987,356
"7167","EVC2",0.23308866606199,4.15820297703883,0.907574055346986,0.340758913611822,0.750541330011826,255,107,110,168,108,127,109,142,193,60,267,316,178
"7168","EVI2A",-0.23849490407375,3.74720003546607,0.458919636702596,0.498129315636213,0.839125308337566,158,97,50,66,103,124,59,93,223,39,237,198,91
"7169","EVI2B",0.182445200254321,2.98655195570087,0.182965026283416,0.668837429462981,0.912686552169293,57,28,22,23,34,131,62,111,110,19,119,208,61
"7170","EVI5",-0.262056539426585,5.99219816599596,2.24209673386182,0.134298762536443,0.527544658324907,850,514,488,500,519,595,437,410,520,173,657,978,520
"7171","EVI5L",0.312230926229014,3.57819611911307,1.27275587194805,0.25925031619701,0.68154050464267,129,71,88,86,60,87,88,85,101,35,197,209,111
"7172","EVL",0.118541180910992,5.927220577587,0.182349098420428,0.669362186631554,0.912686552169293,683,296,262,337,259,600,298,522,792,215,1286,1173,361
