"","logFC","logCPM","LR","PValue","FDR"
"HSP90B2P",-0.130834912990297,1.09011805920999,0.19067089955708,0.66235881932198,0.932532011073751
"P2RX7",0.0910884601124301,3.96659679143603,0.190635672622557,0.66238807855488,0.932532011073751
"MMP2",0.168260883173944,5.9093497451433,0.190610310275549,0.662409146326867,0.932532011073751
"AMMECR1L",-0.0697167435627522,4.91484157589589,0.190556359924447,0.662453966882461,0.932532011073751
"URB2",-0.103549273479585,3.73606832307392,0.190512997726483,0.662489996550314,0.932532011073751
"SAP30",-0.119796146425512,3.06887698810295,0.190414760813152,0.662571639701612,0.932532011073751
"TIMM21",0.0752097735984026,3.95204260228627,0.190403578195072,0.662580934988607,0.932532011073751
"AC008063.1",-0.156975124725984,0.716247704563323,0.190390865163724,0.662591502790153,0.932532011073751
"AC012513.3",0.122858663263072,2.6673735973005,0.190376345910302,0.662603572540945,0.932532011073751
"TMEM50A",0.0740608131839611,6.71999474509418,0.190326730504882,0.662644821605554,0.932532011073751
"AC083862.2",0.163611364633182,0.374300145921204,0.190317669790918,0.662652355158084,0.932532011073751
"AC004656.1",-0.0977492499264635,6.34709539306148,0.190278674413385,0.662684780395481,0.932532011073751
"OTOF",-0.28244179802769,-0.151795006039149,0.18996974690517,0.662941798092779,0.932706171601776
"FAM118A",0.188345826016116,5.44649640227431,0.189684557485361,0.663179287313141,0.932706171601776
"ZNF512",0.0970168439717902,4.01011700662197,0.189620060314933,0.663233026264413,0.932706171601776
"STXBP1",-0.103166375046665,3.92779500858904,0.189618421050021,0.663234392239292,0.932706171601776
"AC105345.1",-0.16626655095442,0.987662917830999,0.18953485394033,0.663304036767177,0.932706171601776
"DNMT3A",-0.0765770851933021,5.6538979149279,0.1894981607249,0.66333462253084,0.932706171601776
"SLC25A46",0.0866609786265625,6.38380921253234,0.189461525798389,0.663365163221736,0.932706171601776
"ALKBH6",-0.130683665768834,1.33540194352743,0.189348376457165,0.663459512302843,0.932706171601776
"EIF2S1",-0.0662335387819164,6.089165526372,0.189235375836573,0.663553770841732,0.932706171601776
"HDAC4",-0.0902868118070369,4.71314111867834,0.189201818006378,0.663581769275223,0.932706171601776
"STAU1",-0.0715253681759069,5.98175516628091,0.18915933799695,0.663617216019855,0.932706171601776
"IPO13",-0.0938085999953068,4.53216212601048,0.189150940455502,0.663624223770381,0.932706171601776
"THAP9",-0.0837113007863744,3.63858265829361,0.189148671124213,0.663626117559681,0.932706171601776
"NDUFA9",0.077944233319036,4.00006069868791,0.189143035181338,0.663630820892766,0.932706171601776
"ACSM5",0.173216775444538,2.60630440963704,0.189077788352343,0.663685277045182,0.932706171601776
"AFG3L1P",-0.0880741862753937,4.00875224299873,0.189037678121666,0.663718759295411,0.932706171601776
"ERAP2",0.211436485019164,5.03570547763293,0.188996872696492,0.663752826197686,0.932706171601776
"CCSER2",0.0767894042395689,6.13113316654245,0.188919331907023,0.663817574114026,0.932706171601776
"TUBB1",-0.168325798420234,1.17908467536196,0.188865521895046,0.66386251570194,0.932706171601776
"BRIX1",-0.086340479082694,4.3711379700502,0.18876356535535,0.663947689669714,0.932706171601776
"LRRC59",-0.090956464172341,6.40997314035139,0.18873084178429,0.663975032568831,0.932706171601776
"SPRN",-0.12274557742893,2.74719556417821,0.188725092643391,0.663979836680898,0.932706171601776
"RPSAP6",0.202943686473674,0.0909589485377219,0.188645693306349,0.664046193459136,0.932706171601776
"PDCD10",0.0744184985566139,4.97069910940943,0.188430631994285,0.664226011060378,0.932706171601776
"SAC3D1",-0.127093199360429,1.59849758340818,0.18835797625724,0.664286787715308,0.932706171601776
"ABHD17A",0.11245379349643,4.4596384911923,0.18833516885973,0.664305869017021,0.932706171601776
"HSPA4L",0.117763243923683,5.49200308814755,0.18829392807848,0.664340375685317,0.932706171601776
"HSP90B1",0.0769716892446618,8.96327990800392,0.188270386681893,0.664360075074297,0.932706171601776
"ICAM1",-0.181012941182627,4.88603035051956,0.188261898850769,0.6643671780317,0.932706171601776
"BMPER",-0.172829874260717,3.1853022480636,0.188244758164359,0.664381522625435,0.932706171601776
"CEBPZOS",-0.0946745269682204,4.6416557338397,0.188180329182027,0.664435448503157,0.932706171601776
"MRE11",0.0744820460533493,5.40370194519285,0.188061770451622,0.664534708657958,0.932706171601776
"TMEM205",-0.0806565593837672,4.22311573172113,0.187993591013711,0.664591806921084,0.932706171601776
"IL11RA",0.106811318587081,4.57454486107115,0.187988991351521,0.664595659445037,0.932706171601776
"ARHGAP19",0.0854471627119805,4.19388851141695,0.187896727718876,0.664672948221262,0.932706171601776
"TMEM117",0.0876529297482138,3.2090880190821,0.187861068292509,0.664702825981139,0.932706171601776
"DENND4B",0.0912383584594665,5.0154357735625,0.187804028068808,0.664750624951611,0.932706171601776
"TDGF1",-0.265391995486895,0.221212011741472,0.1877747914479,0.664775128204492,0.932706171601776
"AC119396.1",0.26622835927453,1.91190619886587,0.187602231033178,0.664919797500337,0.932706171601776
"WDR75",0.0713313764433151,5.61744274940809,0.187588974440786,0.664930914683838,0.932706171601776
"XPO5",-0.0645734978106608,5.34883267143556,0.187575551846703,0.664942171554239,0.932706171601776
"ATP6V0E2",-0.10566775428974,5.18964481574376,0.187486924866953,0.66501651065735,0.932706171601776
"CD300C",-0.184499342309959,0.353469176596195,0.187465109557918,0.665034812241218,0.932706171601776
"TGFB3",-0.12768756558853,5.06226965614857,0.187224944201077,0.665236378536069,0.932706171601776
"FAH",0.106237207131359,4.40320949596709,0.187163866827795,0.665287664112062,0.932706171601776
"SLC22A17",0.100758727170742,3.11332037206116,0.187128054311248,0.665317739860845,0.932706171601776
"AL121832.3",-0.139060678911896,1.0968902171487,0.187115180961985,0.665328551877186,0.932706171601776
"CEP170",0.0867851694558831,4.49680432209916,0.187097738276476,0.665343202273544,0.932706171601776
"SAA1",0.201292384035607,5.97580373176899,0.187083071526125,0.665355521744073,0.932706171601776
"SLC25A3",0.0652825764690448,8.21410543432781,0.187027285006501,0.665402385376872,0.932706171601776
"TMEM210",-0.132060934761751,0.895575413147829,0.186911705784023,0.665499504455199,0.932706171601776
"BLCAP",-0.0769908179793105,5.83040404642291,0.186903953210448,0.66550602007442,0.932706171601776
"TMEM248",-0.0585179662133408,7.06139484276691,0.186860089328734,0.665542888318311,0.932706171601776
"ZNFX1",-0.0812065732295822,6.30580220305405,0.186802107906853,0.665591630446475,0.932706171601776
"ATP6V0A1",-0.067042430443005,5.6891698297348,0.186790745459264,0.665601183349038,0.932706171601776
"DNAJC30",-0.118937184924732,2.14151978235459,0.186657145157348,0.665713532790121,0.932706171601776
"C2CD4B",-0.194409526873394,1.49771245384302,0.186642219331706,0.66572608743229,0.932706171601776
"CFAP44",-0.0741605501148887,4.06204929798788,0.186632854170757,0.665733965105994,0.932706171601776
"SLC44A3-AS1",0.126117367379148,3.75587683225565,0.186631109997521,0.665735432274614,0.932706171601776
"RRS1",-0.127559924363537,2.43582749890047,0.186564974633825,0.665791070212121,0.932706171601776
"ALG1",-0.0834756600902165,3.59782983913163,0.186553933573554,0.66580035990475,0.932706171601776
"PLEKHG1",-0.103413730495414,4.46104178896423,0.186486815777126,0.665856838285,0.932706171601776
"ZFAND1",-0.0705510996493082,6.13269356888354,0.186468982632954,0.665871846572529,0.932706171601776
"ZNF677",-0.0866438205019095,3.84733753547928,0.186436682985608,0.665899031966782,0.932706171601776
"IFITM2",-0.141623358644587,2.48913110063781,0.18637017872252,0.665955014895145,0.932706171601776
"PHLPP2",0.0714667896105985,4.24617658629004,0.186364587142114,0.66595972239726,0.932706171601776
"CCR7",0.280147514134433,2.2060703715261,0.186326409936896,0.665991865687883,0.932706171601776
"C3orf38",0.0810235720404469,4.61187635726465,0.186319595245715,0.665997603726711,0.932706171601776
"AL365330.1",-0.147062064730271,0.862007247276841,0.186190162018651,0.666106611455462,0.932793148051417
"TTC5",-0.0661473626129302,4.55833913525432,0.18596079648706,0.666299891889899,0.932870857534159
"RAI14",0.0955180350955205,5.57193625651323,0.185930821685204,0.66632516132716,0.932870857534159
"DDX58",0.0895299943042993,5.39884668720887,0.185926186602254,0.666329069022773,0.932870857534159
"AL035252.3",0.141867359782481,1.33458875508422,0.185901682558956,0.666349728586598,0.932870857534159
"RAB18",-0.076133547881264,6.4311237029244,0.185765740521056,0.66646437179244,0.932965680735415
"CCNQ",0.0878400806605397,3.40613109446234,0.185703173175078,0.666517153062444,0.932973897811507
"PXN-AS1",0.118768145381916,1.37022983489086,0.185460175880191,0.66672224351246,0.932979044675982
"TRIT1",0.0712087680464528,4.67892213984338,0.185455714111576,0.666726010747418,0.932979044675982
"RERGL",-0.188917366781421,1.86312301207898,0.185453845981147,0.666727588094442,0.932979044675982
"DUBR",0.115250535033506,2.73784080094346,0.18543307500633,0.666745126602553,0.932979044675982
"TMC5",0.193077903023442,4.37710728862488,0.185420922679068,0.666755388273317,0.932979044675982
"HYAL1",0.0906133794991706,3.19590707745284,0.185321778208149,0.666839122764479,0.933022573642523
"ASPSCR1",-0.0958792065750803,4.80602158629478,0.185273006050325,0.666880324030997,0.933022573642523
"WASHC5",0.065349902207094,5.55917414477934,0.185058280459,0.667061794299278,0.933145990211976
"AKAP9",-0.0595384659903873,8.72527603780847,0.184923613369705,0.667175668682022,0.933145990211976
"PSMD11",-0.0641997100091046,5.35978604487032,0.184844873118809,0.667242274138578,0.933145990211976
"ZBTB3",0.0848481824647239,3.58649687327095,0.184833388022369,0.66725199065181,0.933145990211976
"TLR8",0.139410872758121,2.3226341106246,0.184769928636221,0.667305684413652,0.933145990211976
"NRBF2",-0.0989240254931772,3.96811415953369,0.184723892830558,0.667344642708522,0.933145990211976
"NCKAP1",-0.0615961929763101,7.69255739214399,0.184682950528089,0.667379295403841,0.933145990211976
"MPZ",0.121188185060915,3.13158260983207,0.184655607595449,0.667402440415688,0.933145990211976
